"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 29 17:22:56 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","2589","API Tests","User API Tests","com.qa.ai.runner.AITestRunner_UserApiTests","com.qa.ai.runner.AITestRunner_UserApiTests","runAPITest","TC002 — Get single user ID=2 validates response schema","ID: TC002
Type: api
Tags: [smoke, users, get, contract]

Expected outcome:
GET /users/2 returns HTTP 200 with a response matching the user JSON Schema

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","165","API Tests","Todos API Tests","com.qa.ai.runner.AITestRunner_TodosApiTests","com.qa.ai.runner.AITestRunner_TodosApiTests","runAPITest","TC005 — Create new todo returns 201 with server-assigned ID","ID: TC005
Type: api
Tags: [smoke, todos, post]

Expected outcome:
POST /todos returns HTTP 201 with a generated id and the submitted title

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:03 UTC 2026","Mon Jun 29 17:22:17 UTC 2026","14527","UI Tests","Product Detail Page Tests","com.qa.ai.runner.AITestRunner_ProductDetailTests","com.qa.ai.runner.AITestRunner_ProductDetailTests","runUITest","[webkit] TC005 — Add to cart button is present on the product detail page","ID: TC005
Type: ui
Tags: [smoke, product-detail, add-to-cart]

Expected outcome:
The Add to Cart button is visible on the product detail page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:47 UTC 2026","Mon Jun 29 17:21:54 UTC 2026","6266","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[webkit] TC007 — Logout via burger menu redirects to login page","ID: TC007
Type: ui
Tags: [regression, navigation, products]

Expected outcome:
Clicking Logout in the burger menu redirects the user back to the login page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:43 UTC 2026","Mon Jun 29 17:22:48 UTC 2026","5200","UI Tests","Checkout E2E Tests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","runUITest","[webkit] TC004 — Order summary on step 2 shows item total and tax","ID: TC004
Type: ui
Tags: [smoke, e2e, checkout]

Expected outcome:
Checkout step 2 shows item subtotal and tax breakdown before finishing

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","176","API Tests","Posts API Tests","com.qa.ai.runner.AITestRunner_PostsApiTests","com.qa.ai.runner.AITestRunner_PostsApiTests","runAPITest","TC004 — Create new post returns 201 with server-assigned ID","ID: TC004
Type: api
Tags: [smoke, posts, post]

Expected outcome:
POST /posts returns HTTP 201 with a server-generated id and the submitted title

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:56 UTC 2026","Mon Jun 29 17:22:58 UTC 2026","1885","API Tests","User API Tests","com.qa.ai.runner.AITestRunner_UserApiTests","com.qa.ai.runner.AITestRunner_UserApiTests","runAPITest","TC003 — Get non-existent user ID=9999 returns 404","ID: TC003
Type: api
Tags: [negative, users, get]

Expected outcome:
GET /users/9999 returns HTTP 404 indicating the user does not exist

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:03 UTC 2026","Mon Jun 29 17:22:17 UTC 2026","13876","UI Tests","Product Detail Page Tests","com.qa.ai.runner.AITestRunner_ProductDetailTests","com.qa.ai.runner.AITestRunner_ProductDetailTests","runUITest","[webkit] TC003 — Product description is visible on the detail page","ID: TC003
Type: ui
Tags: [smoke, product-detail, content]

Expected outcome:
After navigating to a product detail page the product description text element is visible

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","161","API Tests","Todos API Tests","com.qa.ai.runner.AITestRunner_TodosApiTests","com.qa.ai.runner.AITestRunner_TodosApiTests","runAPITest","TC001 — List all todos returns 200 with completed field present","ID: TC001
Type: api
Tags: [smoke, todos, get]

Expected outcome:
GET /todos returns HTTP 200 with a non-empty array of todo objects each having a completed field

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:47 UTC 2026","Mon Jun 29 17:21:53 UTC 2026","5133","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[webkit] TC002 — Sort dropdown is visible on products page","ID: TC002
Type: ui
Tags: [smoke, sort, products]

Expected outcome:
The sort dropdown control is visible after login on the inventory page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","101","API Tests","Posts API Tests","com.qa.ai.runner.AITestRunner_PostsApiTests","com.qa.ai.runner.AITestRunner_PostsApiTests","runAPITest","TC008 — Get non-existent post ID=9999 returns 404","ID: TC008
Type: api
Tags: [negative, posts, get]

Expected outcome:
GET /posts/9999 returns HTTP 404 when the post does not exist

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","152","API Tests","Posts API Tests","com.qa.ai.runner.AITestRunner_PostsApiTests","com.qa.ai.runner.AITestRunner_PostsApiTests","runAPITest","TC007 — Delete post ID=2 returns 200","ID: TC007
Type: api
Tags: [regression, posts, delete]

Expected outcome:
DELETE /posts/2 returns HTTP 200 indicating the resource was deleted

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:43 UTC 2026","Mon Jun 29 17:22:48 UTC 2026","5812","UI Tests","Checkout E2E Tests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","runUITest","[webkit] TC001 — Full checkout flow completes with order confirmation","ID: TC001
Type: ui
Tags: [smoke, e2e, checkout, happy-path]

Expected outcome:
User logs in, adds item, completes checkout and sees 'Thank you for your order' confirmation

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:16 UTC 2026","Mon Jun 29 17:21:28 UTC 2026","11164","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[webkit] TC002 — Inventory page title shows Products after login","ID: TC002
Type: ui
Tags: [smoke, inventory]

Expected outcome:
After login the page heading reads 'Products'

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:50 UTC 2026","Mon Jun 29 17:21:52 UTC 2026","2531","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[chromium] TC006 — Cart badge persists after navigating to cart page","ID: TC006
Type: ui
Tags: [regression, cart, navigation]

Expected outcome:
The cart badge count remains visible with count 1 after navigating from inventory to the cart page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:50 UTC 2026","Mon Jun 29 17:21:52 UTC 2026","2495","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[chromium] TC005 — Clicking the cart link navigates to the cart page","ID: TC005
Type: ui
Tags: [smoke, cart, navigation]

Expected outcome:
After adding an item clicking the cart icon navigates to the cart page with URL containing cart.html

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:15 UTC 2026","Mon Jun 29 17:21:27 UTC 2026","12708","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[chromium] TC006 — Clicking product name navigates to product detail page","ID: TC006
Type: ui
Tags: [navigation, products]

Expected outcome:
Clicking the first product name link opens the product detail page at /inventory-item.html

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:28 UTC 2026","Mon Jun 29 17:22:33 UTC 2026","5000","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[webkit] TC001 — Adding item from inventory page shows cart badge with count 1","ID: TC001
Type: ui
Tags: [smoke, cart, inventory]

Expected outcome:
Clicking Add to Cart on the inventory page makes the cart badge appear showing the count 1

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:01 UTC 2026","Mon Jun 29 17:22:28 UTC 2026","27615","UI Tests","Product Detail Page Tests","com.qa.ai.runner.AITestRunner_ProductDetailTests","com.qa.ai.runner.AITestRunner_ProductDetailTests","runUITest","[firefox] TC004 — Product price is displayed on the detail page","ID: TC004
Type: ui
Tags: [smoke, product-detail, content]

Expected outcome:
After navigating to a product detail page the product price element is visible

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:47 UTC 2026","Mon Jun 29 17:21:54 UTC 2026","6157","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[webkit] TC005 — Burger menu opens and shows All Items and Logout links","ID: TC005
Type: ui
Tags: [navigation, products]

Expected outcome:
Clicking the burger menu reveals All Items and Logout navigation options

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:15 UTC 2026","Mon Jun 29 17:21:17 UTC 2026","2896","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[chromium] TC004 — Add to cart increments cart badge to 1","ID: TC004
Type: ui
Tags: [smoke, cart, products]

Expected outcome:
Clicking Add to cart on the first product shows the cart badge with count 1

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:01 UTC 2026","Mon Jun 29 17:22:20 UTC 2026","19337","UI Tests","Product Detail Page Tests","com.qa.ai.runner.AITestRunner_ProductDetailTests","com.qa.ai.runner.AITestRunner_ProductDetailTests","runUITest","[firefox] TC002 — Product name is visible on the detail page","ID: TC002
Type: ui
Tags: [smoke, product-detail, content]

Expected outcome:
After navigating to a product detail page the product name element is visible

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:40 UTC 2026","Mon Jun 29 17:22:01 UTC 2026","20491","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[firefox] TC006 — Clicking product name navigates to product detail page","ID: TC006
Type: ui
Tags: [navigation, products]

Expected outcome:
Clicking the first product name link opens the product detail page at /inventory-item.html

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","160","API Tests","Posts API Tests","com.qa.ai.runner.AITestRunner_PostsApiTests","com.qa.ai.runner.AITestRunner_PostsApiTests","runAPITest","TC003 — Filter posts by userId=2 returns only that user's posts","ID: TC003
Type: api
Tags: [regression, posts, filter]

Expected outcome:
GET /posts?userId=2 returns HTTP 200 with posts all belonging to userId 2

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:16 UTC 2026","Mon Jun 29 17:21:28 UTC 2026","11592","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[webkit] TC005 — Add to cart increments cart badge to 1","ID: TC005
Type: ui
Tags: [smoke, cart]

Expected outcome:
Clicking Add to cart on the first product shows badge count of 1 on the cart icon

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:50 UTC 2026","Mon Jun 29 17:22:02 UTC 2026","12302","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[chromium] TC003 — Add to cart from product detail page shows cart badge","ID: TC003
Type: ui
Tags: [smoke, cart, product-detail]

Expected outcome:
Clicking Add to Cart on the product detail page makes the cart badge appear

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:47 UTC 2026","Mon Jun 29 17:22:56 UTC 2026","8859","UI Tests","Checkout E2E Tests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","runUITest","[firefox] TC004 — Order summary on step 2 shows item total and tax","ID: TC004
Type: ui
Tags: [smoke, e2e, checkout]

Expected outcome:
Checkout step 2 shows item subtotal and tax breakdown before finishing

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","141","API Tests","Comments API Tests","com.qa.ai.runner.AITestRunner_CommentsApiTests","com.qa.ai.runner.AITestRunner_CommentsApiTests","runAPITest","TC002 — Get single comment ID=1 returns comment with valid email","ID: TC002
Type: api
Tags: [smoke, comments, get]

Expected outcome:
GET /comments/1 returns HTTP 200 with id=1 and a non-empty email

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:11 UTC 2026","Mon Jun 29 17:21:21 UTC 2026","10121","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[firefox] TC005 — Add to cart increments cart badge to 1","ID: TC005
Type: ui
Tags: [smoke, cart]

Expected outcome:
Clicking Add to cart on the first product shows badge count of 1 on the cart icon

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","148","API Tests","Todos API Tests","com.qa.ai.runner.AITestRunner_TodosApiTests","com.qa.ai.runner.AITestRunner_TodosApiTests","runAPITest","TC006 — Mark todo as complete via PATCH returns completed=true","ID: TC006
Type: api
Tags: [regression, todos, patch]

Expected outcome:
PATCH /todos/1 with completed=true returns HTTP 200 with completed field set to true

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:28 UTC 2026","Mon Jun 29 17:22:38 UTC 2026","9248","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[firefox] TC001 — Adding item from inventory page shows cart badge with count 1","ID: TC001
Type: ui
Tags: [smoke, cart, inventory]

Expected outcome:
Clicking Add to Cart on the inventory page makes the cart badge appear showing the count 1

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:28 UTC 2026","Mon Jun 29 17:22:32 UTC 2026","4410","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[webkit] TC002 — Cart badge becomes visible after adding an item","ID: TC002
Type: ui
Tags: [smoke, cart, inventory]

Expected outcome:
The shopping cart badge is visible immediately after clicking Add to Cart on the inventory page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:11 UTC 2026","Mon Jun 29 17:21:21 UTC 2026","9967","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[firefox] TC002 — Inventory page title shows Products after login","ID: TC002
Type: ui
Tags: [smoke, inventory]

Expected outcome:
After login the page heading reads 'Products'

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","119","API Tests","Comments API Tests","com.qa.ai.runner.AITestRunner_CommentsApiTests","com.qa.ai.runner.AITestRunner_CommentsApiTests","runAPITest","TC005 — Comments response contains Content-Type application/json","ID: TC005
Type: api
Tags: [smoke, comments, headers]

Expected outcome:
GET /comments/1 returns a Content-Type header containing application/json

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:02 UTC 2026","Mon Jun 29 17:22:05 UTC 2026","2844","UI Tests","Checkout E2E Tests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","runUITest","[chromium] TC001 — Full checkout flow completes with order confirmation","ID: TC001
Type: ui
Tags: [smoke, e2e, checkout, happy-path]

Expected outcome:
User logs in, adds item, completes checkout and sees 'Thank you for your order' confirmation

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","108","API Tests","Comments API Tests","com.qa.ai.runner.AITestRunner_CommentsApiTests","com.qa.ai.runner.AITestRunner_CommentsApiTests","runAPITest","TC006 — Get non-existent comment ID=9999 returns 404","ID: TC006
Type: api
Tags: [negative, comments, get]

Expected outcome:
GET /comments/9999 returns HTTP 404 when the comment does not exist

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:29 UTC 2026","Mon Jun 29 17:22:38 UTC 2026","9251","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[firefox] TC006 — Cart badge persists after navigating to cart page","ID: TC006
Type: ui
Tags: [regression, cart, navigation]

Expected outcome:
The cart badge count remains visible with count 1 after navigating from inventory to the cart page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:16 UTC 2026","Mon Jun 29 17:21:37 UTC 2026","20647","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[webkit] TC006 — Empty username shows validation error","ID: TC006
Type: ui
Tags: [negative, edge-case, login]

Expected outcome:
Submitting login form with blank username shows a validation error message

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:11 UTC 2026","Mon Jun 29 17:21:21 UTC 2026","10129","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[firefox] TC001 — Valid login redirects to inventory page","ID: TC001
Type: ui
Tags: [smoke, login]

Expected outcome:
User with standard_user credentials is redirected to /inventory.html after login

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:59 UTC 2026","Mon Jun 29 17:22:59 UTC 2026","396","API Tests","Comments API Tests","com.qa.ai.runner.AITestRunner_CommentsApiTests","com.qa.ai.runner.AITestRunner_CommentsApiTests","runAPITest","TC001 — List all comments returns 200 with email field","ID: TC001
Type: api
Tags: [smoke, comments, get]

Expected outcome:
GET /comments returns HTTP 200 with a non-empty array where first comment has an email field

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:20:51 UTC 2026","Mon Jun 29 17:21:14 UTC 2026","22876","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[chromium] TC003 — Locked out user sees locked-out error message","ID: TC003
Type: ui
Tags: [negative, login]

Expected outcome:
Logging in with locked_out_user shows an error message containing 'locked out'

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:28 UTC 2026","Mon Jun 29 17:22:47 UTC 2026","18267","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[firefox] TC004 — Cart badge shows count 1 after adding item from product detail page","ID: TC004
Type: ui
Tags: [regression, cart, product-detail]

Expected outcome:
After adding an item from the product detail page the cart badge displays the count 1

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:40 UTC 2026","Mon Jun 29 17:21:51 UTC 2026","11012","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[firefox] TC005 — Burger menu opens and shows All Items and Logout links","ID: TC005
Type: ui
Tags: [navigation, products]

Expected outcome:
Clicking the burger menu reveals All Items and Logout navigation options

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:03 UTC 2026","Mon Jun 29 17:22:18 UTC 2026","15011","UI Tests","Product Detail Page Tests","com.qa.ai.runner.AITestRunner_ProductDetailTests","com.qa.ai.runner.AITestRunner_ProductDetailTests","runUITest","[webkit] TC006 — Back to products button returns user to inventory listing","ID: TC006
Type: ui
Tags: [regression, product-detail, navigation]

Expected outcome:
Clicking the back button from a product detail page returns to the inventory page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:16 UTC 2026","Mon Jun 29 17:21:47 UTC 2026","30862","UI Tests","Login Page Tests","com.qa.ai.runner.AITestRunner_LoginPageTests","com.qa.ai.runner.AITestRunner_LoginPageTests","runUITest","[webkit] TC004 — Wrong password shows credential mismatch error","ID: TC004
Type: ui
Tags: [negative, login]

Expected outcome:
Entering a wrong password shows an error message containing 'do not match'

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:02 UTC 2026","Mon Jun 29 17:22:05 UTC 2026","2651","UI Tests","Checkout E2E Tests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","com.qa.ai.runner.AITestRunner_CheckoutE2ETests","runUITest","[chromium] TC005 — Checkout complete header text confirms order success","ID: TC005
Type: ui
Tags: [smoke, e2e, checkout]

Expected outcome:
The checkout complete page header contains 'Thank you' confirming the order

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:22:28 UTC 2026","Mon Jun 29 17:22:38 UTC 2026","9016","UI Tests","Add to Cart Tests","com.qa.ai.runner.AITestRunner_AddToCartTests","com.qa.ai.runner.AITestRunner_AddToCartTests","runUITest","[firefox] TC002 — Cart badge becomes visible after adding an item","ID: TC002
Type: ui
Tags: [smoke, cart, inventory]

Expected outcome:
The shopping cart badge is visible immediately after clicking Add to Cart on the inventory page

⚡ This test was generated by Claude AI from a plain-English user story."
"passed","Mon Jun 29 17:21:40 UTC 2026","Mon Jun 29 17:21:51 UTC 2026","11175","UI Tests","Products Page Tests","com.qa.ai.runner.AITestRunner_ProductsPageTests","com.qa.ai.runner.AITestRunner_ProductsPageTests","runUITest","[firefox] TC001 — Products page displays title and inventory list after login","ID: TC001
Type: ui
Tags: [smoke, products]

Expected outcome:
After login the products page shows title 'Products' and the full inventory list

⚡ This test was generated by Claude AI from a plain-English user story."
